rank,title,author,grrank,votes
4,The Stranger,Albert Camus,3.97,545116
30,In Cold Blood,Truman Capote,4.06,438884
19,Midnight in the Garden of Good and Evil,John Berendt,3.91,189365
10,No Country for Old Men,Cormac McCarthy,4.13,119436
24,Mystic River,Dennis Lehane,4.18,104864
12,"The Big Sleep (Philip Marlowe, #1)",Raymond Chandler,4.02,100630
28,Thus Spoke Zarathustra,Friedrich Nietzsche,4.07,87530
5,"Notes from Underground, White Nights, The Dream of a Ridiculous Man, and Selections from The House of the Dead",Fyodor Dostoyevsky,4.17,70310
29,"Preacher, Volume 1: Gone to Texas",Garth Ennis,4.15,58284
61,The Lottery and Other Stories,Shirley Jackson,4.06,54908
14,Beyond Good and Evil,Friedrich Nietzsche,4.01,47758
44,"Absalom, Absalom!",William Faulkner,3.96,34470
21,The Complete Stories,Flannery O'Connor,4.44,31149
11,The Call of Cthulhu and Other Weird Stories,H.P. Lovecraft,4.24,29471
26,"L.A. Confidential (L.A. Quartet, #3)",James Ellroy,4.20,26128
84,Jesus' Son,Denis Johnson,4.15,25339
46,2666,Roberto Bolaño,4.21,24863
33,Red Harvest,Dashiell Hammett,3.98,19672
36,Everything That Rises Must Converge: Stories,Flannery O'Connor,4.27,16086
92,A Separate Reality: Further Conversations With Don Juan,Carlos Castaneda,4.07,13970
16,The Devil All the Time,Donald Ray Pollock,4.10,12532
58,Hagakure: The Book of the Samurai,Yamamoto Tsunetomo,4.07,10726
25,Without Conscience: The Disturbing World of the Psychopaths Among Us,Robert D. Hare,4.04,8423
15,"The World as Will and Representation, Volume 1",Arthur Schopenhauer,4.17,7142
74,The Sunset Limited,Cormac McCarthy,3.96,6986
9,Knockemstiff,Donald Ray Pollock,3.98,6485
70,The Denial of Death,Ernest Becker,4.18,5794
55,The Friends of Eddie Coyle,George V. Higgins,4.05,5612
94,Dead Men Do Tell Tales: The Strange and Fascinating Cases of a Forensic Anthropologist,William R. Maples,4.03,5159
86,The Collected Poems,Theodore Roethke,4.15,4571
88,The Divided Self: An Existential Study in Sanity and Madness,R.D. Laing,4.07,4243
13,On the Heights of Despair,Emil M. Cioran,4.21,3550
42,The Outsider,Colin Wilson,4.06,2990
1,The Conspiracy Against the Human Race,Thomas Ligotti,4.14,2958
41,Straw Dogs: Thoughts on Humans and Other Animals,John N. Gray,3.94,2862
17,The Trouble with Being Born,Emil M. Cioran,4.21,2826
49,A Short History of Decay,Emil M. Cioran,4.28,2391
27,The Imago Sequence and Other Stories,Laird Barron,4.03,2263
48,The Western Lands,William S. Burroughs,4.06,1707
77,El horror sobrenatural en la literatura y otros escritos (Biblioteca Lovecraft #11),H.P. Lovecraft,4.10,1462
34,I Hate To See That Evening Sun Go Down: Collected Stories,William Gay,4.31,1443
40,The Nightmare Factory,Thomas Ligotti,4.33,1144
22,The Temptation to Exist,Emil M. Cioran,4.19,1105
50,"The Wide, Carnivorous Sky and Other Monstrous Geographies",John  Langan,4.18,858
89,Sexual Homicide: Patterns and Motives,Robert K. Ressler,4.12,669
69,The Birth and Death of Meaning: An Interdisciplinary Perspective on the Problem of Man,Ernest Becker,4.35,456
7,The Last Messiah,Peter Wessel Zapffe,4.37,437
82,The Antichrist/Thus Spake Zarathustra,Friedrich Nietzsche,3.93,391
37,"The Franklin Cover-Up: Child Abuse, Satanism, and Murder in Nebraska",John W.  DeCamp,4.14,367
56,"The Essential Sermons, Commentaries, Treatises and Defense",Meister Eckhart,4.23,275
95,The Second Four Books of Poems: The Moving Target / The Lice / The Carrier of Ladders / Writings to an Unfinished Accompaniment,W.S. Merwin,4.36,273
53,In a Lonely Place,Karl Edward Wagner,4.31,229
65,"The Franklin Scandal: A Story of Powerbrokers, Child Abuse & Betrayal",Nick Bryant,4.24,202
73,1000 Years for Revenge: International Terrorism and the FBI--the Untold Story,Peter Lance,4.14,173
57,Absolute Top 10,Alan Moore,4.57,137
80,"Practical Homicide Investigation: Tactics, Procedures, and Forensic Techniques",Vernon J. Geberth,4.37,123
43,Sex Crimes: Ten Years on the Front Lines Prosecuting Rapists and Confronting Their Collaborators,Alice Vachss,4.11,106
93,Techniques of Crime Scene Investigation,Barry A.J. Fisher,4.09,55
38,The Untold Tales of Ozman Droom,Robin Spriggs,4.68,28
83,"Death Investigators Handbook: A Field Guide to Crime Scene Processing, Forensic Evaluations, and Investigative Techniques",Louis N. Eliopulos,4.05,21
63,True Detection,Gary J. Shipley,4.05,20
68,Black Maps: American Landscape and the Apocalyptic Sublime,David Maisel,4.43,14
67,"Sticks, The Bleeding Man, and Saturday Night at the White Woman Watching Hole",Thomas Lopez,4.29,7
62,The Case of the Empty Killer,John Charles Scott,4.50,6
